English,Russian,French
noun,существительное,nom
ability,способность,aptitude
abroad,за рубежом,à l'étranger
abuse,злоупотреблять,abuser de
access,доступ,accéder
accident,несчастный случай,accident
account,учетная запись,Compte
act,действовать,loi
action,действие,action
active,активный,actif
activity,Мероприятия,activité
actor,актер,acteur de cinéma
ad,объявление,un d
addition,добавление,ajout
address,адрес,adresse
administration,администрация,administration
adult,взрослый,adulte
advance,продвигать,avance
advantage,преимущество,avantage
advertising,реклама,La publicité
advice,совет,conseils
affair,роман,aventure
affect,оказывать воздействие,affecter
afternoon,после полудня,après midi
age,возраст,âge
agency,агентство,agence
agent,агент,agent
agreement,соглашение,accord
air,воздуха,air
airline,авиакомпания,Compagnie aérienne
airport,аэропорт,aéroport
alarm,тревога,alarme
alcohol,алкоголь,de l'alcool
alternative,альтернатива,alternative
ambition,амбиция,ambition
amount,количество,montant
analysis,анализ,une analyse
analyst,аналитик,analyste
anger,злость,colère
angle,угол,angle
animal,животное,animal
annual,ежегодный,annuel
answer,отвечать,réponse
anxiety,беспокойство,anxiété
anybody,любой,n'importe qui
anything,что-либо,n'importe quoi
anywhere,в любом месте,partout
apartment,квартира,appartement
appeal,обращаться,appel
appearance,внешность,apparence
apple,яблоко,Pomme
application,заявление,application
appointment,"деловое свидание, встреча",rendez-vous
area,область,Région
argument,аргумент,dispute
arm,рука,bras
army,армия,armée
arrival,прибытие,Arrivées
art,искусство,art
article,статья,article
aside,в сторону,de côté
ask,спросить,interroger
aspect,аспект,aspect
assignment,назначение,mission
assist,помощь,aider
assistance,помощь,assistance
assistant,помощник,assistant
associate,ассоциирован,associé
association,ассоциация,association
assumption,предположение,supposition
atmosphere,атмосфера,atmosphère
attack,атака,attaque
attempt,пытаться,tentative
attention,внимание,attention
attitude,отношение,attitude
audience,аудитория,spectateurs
author,автор,auteur
average,средний,moyen
award,премия,décerner
awareness,осведомленность,sensibilisation
baby,малыш,bébé
back,назад,retour
background,фон,Contexte
bad,Плохо,mal
bag,сумка,sac
bake,выпекать,cuire
balance,остаток средств,solde
ball,мяч,Balle
band,группа,bande
bank,банк,banque
bar,бар,bar
base,база,base
baseball,бейсбол,base-ball
basis,основа,base
basket,корзина,corbeille
bat,летучая мышь,chauve souris
bath,ванна,bain
bathroom,ванная комната,salle de bains
battle,боевой,bataille
beach,пляж,plage
bear,медведь,ours
beat,бить,battre
beautiful,красивая,belle
bed,кровать,lit
bedroom,Спальня,chambre
beer,пиво,Bière
beginning,начало,début
being,существование,étant
bell,колокол,cloche
belt,пояс,ceinture
bench,скамья,banc
bend,сгибать,pliez
benefit,выгода,bénéficier à
bet,держать пари,pari
beyond,вне,au-delà
bicycle,велосипед,vélo
bid,делать ставку,offre
big,большой,gros
bike,велосипед,Bicyclette
bill,законопроект,facture
bird,птица,oiseau
birth,рождение,naissance
birthday,день рождения,date d'anniversaire
bit,кусочек,bit
bite,кусать,morsure
bitter,горький,amer
black,черный,le noir
blame,обвинять,faire des reproches
blank,пустой,Vide
blind,слепой,aveugle
block,блокировать,bloquer
blood,кровь,du sang
blow,дуть,souffler
blue,синий,bleu
board,доска,planche
boat,лодка,bateau
body,тело,corps
bone,кость,os
bonus,бонус,prime
book,книга,livre
boot,ботинок,botte
border,граница,frontière
boss,босс,chef
bother,беспокоить,embêter
bottle,бутылка,bouteille
bottom,нижний,fond
bowl,чаша,bol
box,коробка,boîte
boy,мальчик,garçon
boyfriend,парень,copain
brain,мозг,cerveau
branch,ответвляться,bifurquer
brave,Храбрый,braver
bread,хлеб,pain
break,ломать,Pause
breakfast,завтрак,petit-déjeuner
breast,грудь,Sein
breath,дыхание,haleine
brick,кирпич,brique
bridge,мост,pont
brief,краткий,bref
brilliant,блестящий,génial
broad,широкий,vaste
brother,брат,frère
brown,коричневый,brun
brush,щетка,brosser
buddy,приятель,copain
budget,бюджет,budget
bug,ошибка,punaise
building,строительство,imeuble
bunch,связка,groupe
burn,гореть,brûler
bus,автобус,bus
business,бизнес,Entreprise
button,кнопка,bouton
buy,купить,acheter
buyer,покупатель,acheteur
cabinet,шкаф,cabinet
cable,кабель,câble
cake,кекс,gâteau
calendar,календарь,calendrier
call,вызов,appel
calm,спокойствие,calmes
camera,камера,caméra
camp,лагерь,camp
campaign,кампания,campagne
can,Можно,boîte
cancel,отменить,annuler
cancer,рак,cancer
candidate,кандидат,candidat
candle,свеча,bougie
candy,конфеты,Des bonbons
cap,крышка,casquette
capital,столица,Capitale
car,автомобиль,auto
card,открытка,carte
care,забота,se soucier
career,карьера,carrière
carpet,ковер,tapis
carry,нести,porter
case,кейс,Cas
cash,наличные,en espèces
cat,кошка,chat
catch,ловить,attraper
category,категория,Catégorie
cause,причина,cause
celebration,праздник,fête
cell,клетка,cellule
chain,цепь,chaîne
chair,стул,chaise
challenge,вызов,défi
champion,чемпион,champion
championship,чемпионат,championnat
chance,шанс,chance
change,сдача,monnaie
channel,канал,canaliser
chapter,глава,chapitre
character,персонаж,personnage
charge,обвинение,charge
charity,благотворительная деятельность,charité
chart,диаграмма,graphique
check,Проверьте,Chèque
cheek,щека,joue
chemical,химический,chimique
chemistry,химия,chimie
chest,грудь,poitrine
chicken,курица,poulet
child,ребенок,enfant
childhood,детство,enfance
chip,чип,ébrécher
chocolate,шоколад,Chocolat
choice,выбор,choix
church,церковь,église
