English,Russian,Armenian,French
noun,существительное, գոյական,nom
ability,способность, կարողություն,capacité
abroad,за рубежом, արտասահմանում,à l'étranger
abuse,злоупотреблять, չարաշահում,abuser de
access,доступ, մուտք,accéder
accident,несчастный случай, վթար,accident
account,учетная запись, հաշիվ,Compte
act,действовать, գործել,loi
action,действие, գործողություն,action
active,активный, ակտիվ,actif
activity,активность, գործունեություն,activité
actor,актер, դերասան,acteur
ad,объявление, Հայտարարություն,un d
addition,добавление, հավելում,une addition
address,адрес, հասցեն,adresse
administration,администрация, վարչակազմ,administration
adult,взрослый, չափահաս,adulte
advance,продвигать, կանխավճար,avance
advantage,преимущество, առավելություն,avantage
advertising,реклама, գովազդ,La publicité
advice,совет, խորհուրդ,conseils
affair,роман, գործ,aventure
affect,оказывать воздействие, ազդել,affecter
afternoon,после полудня, կեսօրից հետո,après-midi
age,возраст, Տարիք,âge
agency,агентство, գործակալություն,agence
agent,агент, գործակալ,agent
agreement,соглашение, համաձայնագիր,une entente
air,воздуха, օդ,air
airline,авиакомпания, ավիաընկերություն,Compagnie aérienne
airport,аэропорт, օդանավակայան,aéroport
alarm,тревога, ահազանգ,alarme
alcohol,алкоголь, ալկոհոլ,de l'alcool
alternative,альтернатива, այլընտրանք,alternative
ambition,амбиция, փառասիրություն,ambition
amount,количество, գումարը,quantité
analysis,анализ, վերլուծություն,une analyse
analyst,аналитик, վերլուծաբան,analyste
anger,злость, զայրույթը,colère
angle,угол, անկյուն,angle
animal,животное, կենդանի,animal
annual,ежегодный, տարեկան,annuel
answer,отвечать, պատասխանել,répondre
anxiety,беспокойство, անհանգստություն,anxiété
anybody,любой, որեւէ մեկը,n'importe qui
anything,что-либо, ինչ-որ բան,n'importe quoi
anywhere,везде, ամենուրեք,partout
apartment,квартира, բնակարան,appartement
appeal,обращаться, բողոքարկել,appel
appearance,внешность, տեսքը,apparence
apple,яблоко, խնձոր,Pomme
application,применение, դիմումը,application
appointment,встреча, նշանակումը,rendez-vous
area,площадь, տարածք,surface
argument,аргумент, փաստարկ,argument
arm,рука, արմ,bras
army,армия, բանակ,armée
arrival,прибытие, ժամանումը,Arrivées
art,искусство, արվեստ,art
article,статья, հոդված,article
aside,в стороне, մի կողմ,de côté
ask,просить, հարցնել,interroger
aspect,аспект, ասպեկտը,aspect
assignment,назначение, հանձնարարություն,mission
assist,помощь, օժանդակել,aider
assistance,помощь, օգնություն,assistance
assistant,помощник, օգնական,assistant
associate,ассоциирован, գործակից,associé
association,ассоциация, ասոցիացիա,association
assumption,предположение, ենթադրություն,supposition
atmosphere,атмосфера, մթնոլորտ,atmosphère
attack,атака, հարձակում,attaque
attempt,пытаться, փորձ,tentative
attention,внимание,ուշադրություն,attention
attitude,отношение, վերաբերմունքը,attitude
audience,аудитория, հանդիսատես,public
author,автор, հեղինակ,auteur
average,средний, միջին,moyenne
award,премия, մրցանակ,décerner
awareness,осведомленность, իրազեկում,conscience
baby,детка, երեխա,de bébé
back,назад, ետ,arrière
background,задний план, ֆոն,Contexte
bad,Плохо, վատ,mal
bag,мешок, պայուսակ,sac
bake,выпекать, թխել,cuire
balance,остаток средств, հավասարակշռություն,solde
ball,мяч, գնդակ,Balle
band,группа, նվագախումբ,bande
bank,банк, բանկ,banque
bar,бар, բար,bar
base,база, հիմք,base
baseball,бейсбол, բեյսբոլ,base-ball
basis,основа, հիմք,base
basket,корзина, զամբյուղ,panier
bat,летучая мышь, չղջիկ,chauve souris
bath,ванна, լոգանք,bain
bathroom,ванная комната, սանհանգույց,salle de bain
battle,боевой, ճակատամարտ,bataille
beach,пляж, լողափ,plage
bear,нести, արջ,ours
beat,бить, ծեծել,battre
beautiful,Красивый, գեղեցիկ,belle
bed,кровать, մահճակալ,lit
bedroom,Спальня, ննջասենյակ,chambre à coucher
beer,пиво, Գարեջուր,Bière
beginning,начало, սկիզբը,début
being,существование, լինելը,être
bell,колокол, զանգ,cloche
belt,пояс, գոտի,courroie
bench,скамья, նստարան,banc
bend,сгибать, թեքվել,pliez
benefit,польза, օգուտ,bénéfices
bet,делать ставку, խաղադրույք,pari
beyond,вне, այն կողմ,au-delà
bicycle,велосипед, հեծանիվ,vélo
bid,делать ставку, հայտ,offre d'achat
big,большой, մեծ,grand
bike,велосипед, հեծանիվ,Bicyclette
bill,законопроект, հաշիվը,facture
bird,птица, թռչուն,oiseau
birth,рождение, ծնունդը,naissance
birthday,день рождения, ծննդյան օրը,date d'anniversaire
bit,кусочек, քիչ,bit
bite,кусать, կծում,mordre
bitter,горький, դառը,amer
black,черный, Սեվ,noir
blame,обвинять, մեղադրել,faire des reproches
blank,пустой, դատարկ,Vide
blind,слепой, կույր,aveugle
block,блокировать, արգելափակել,bloquer
blood,кровь, արյուն,du sang
blow,дуть, հարված,coup
blue,синий, Կապույտ,bleu
board,доска, տախտակ,conseil
boat,лодка, նավակ,bateau
body,тело, մարմինը,corps
bone,кость, ոսկոր,os
bonus,бонус, բոնուս,prime
book,книга, գիրք,livre
boot,ботинок, կոշիկ,démarrage
border,граница, սահման,frontière
boss,босс, պետ,chef
bother,беспокоить, անհանգստացնել,embêter
bottle,бутылка, շիշ,bouteille
bottom,нижний, ներքեւ,fond
bowl,миска, գունդ,bol
box,коробка, տուփ,boîte
boy,мальчик, տղա,garçon
boyfriend,парень, ընկերոջ,copain
brain,мозг, ուղեղը,cerveau
branch,ветвь, մասնաճյուղ,bifurquer
brave,Храбрый, համարձակ,brave
bread,хлеб, հաց,pain
break,сломать, ընդմիջում,Pause
breakfast,завтрак, նախաճաշ,petit-déjeuner
breast,грудь, կուրծքը,Sein
breath,дыхание,շունչ,souffle
brick,кирпич, աղյուս,brique
bridge,мост, կամուրջ,pont
brief,краткий, կարճ,bref
brilliant,блестящий, փայլուն,génial
broad,широкий, լայն,large
brother,брат, եղբայր,frère
brown,коричневый, շագանակագույն,brun
brush,щетка, խոզանակ,brosse
buddy,приятель, ընկեր,copain
budget,бюджет, բյուջեն,budget
bug,ошибка, վրիպակ,punaise
building,строительство, շինություն,imeuble
bunch,связка, փունջ,groupe
burn,гореть, այրել,brûler
bus,автобус, ավտոբուս,bus
business,бизнес, բիզնես,Entreprise
button,кнопка, կոճակը,bouton
buy,купить, գնել,acheter
buyer,покупатель, գնորդ,acheteur
cabinet,шкаф, կաբինետ,cabinet
cable,кабель, մալուխ,câble
cake,кекс, տորթ,gâteau
calendar,календарь, օրացույց,calendrier
call,вызов, զանգահարել,téléphoner à
calm,спокойствие, հանգիստ,calme
camera,камера, տեսախցիկ,caméra
camp,лагерь, ճամբար,camp
campaign,кампания, քարոզարշավը,campagne
can,может, կարող է,peut
cancel,Отмена, չեղարկել,annuler
cancer,рак, քաղցկեղ,un cancer
candidate,кандидат, թեկնածու,candidat
candle,свеча, մոմ,bougie
candy,конфеты, կոնֆետ,Des bonbons
cap,кепка, գլխարկ,casquette
capital,столица, կապիտալ,Capitale
car,автомобиль, մեքենա,auto
card,карта, քարտ,carte
care,уход, խնամք,se soucier
career,карьера, կարիերա,carrière
carpet,ковровая дорожка, գորգ,tapis
carry,нести, կրել,transporter
case,кейс, գործ,Cas
cash,денежные средства, կանխիկ,en espèces
cat,кот, կատու,chat
catch,ловить, բռնել,capture
category,категория, կատեգորիա,Catégorie
cause,причина, պատճառ,causer
celebration,праздник, տոնակատարություն,fête
cell,клетка, բջիջ,cellule
chain,цепь, շղթա,chaîne
chair,стул, Աթոռ,chaise
challenge,испытание, մարտահրավեր,défier
champion,чемпион, չեմպիոն,champion
championship,чемпионат, առաջնություն,championnat
chance,шанс, հնարավորություն,chance
change,изменение, փոփոխություն,monnaie
channel,канал, ալիք,canal
chapter,глава, գլուխ,chapitre
character,символ, բնավորություն,personnage
charge,обвинять, գանձել,charger
charity,благотворительность, բարեգործություն,charité
chart,диаграмма, գծապատկեր,graphique
check,проверять, ստուգել,Chèque
cheek,щека, այտ,joue
chemical,химический, քիմիական,chimique
chemistry,химия, քիմիա,chimie
chest,грудь, կրծքավանդակը,coffre
chicken,курица, հավ,poulet
child,ребенок, երեխա,enfant
childhood,детство, մանկություն,enfance
chip,чип, չիպ,ébrécher
chocolate,шоколад, շոկոլադ,Chocolat
choice,выбор, ընտրություն,choix
church,церковь, եկեղեցի,église
cigarette,сигарета, ծխախոտ,cigarette
city,город, քաղաք,ville
claim,требовать, պահանջ,prétendre
class,учебный класс, դաս,classe
classic,Классик,դասական,classique
classroom,школьный класс, դասարան,Salle de classe
clerk,клерк, գործավարուհի,employé de bureau
click,нажимать, սեղմել,Cliquez sur
client,клиент, հաճախորդ,client
climate,климат, կլիմա,climat
clock,Часы, ժամացույց,horloge
closet,шкаф, պահարան,le placard
clothes,одежда, հագուստ,vêtements
cloud,облако, ամպ,nuage
club,клуб, ակումբ,club
clue,ключ к разгадке, թել,indice
coach,тренер, մարզիչ,entraîneur
coast,побережье, Ափ,côte
coat,Пальто, վերարկու,manteau
code,код, կոդը,code
coffee,кофе, սուրճ,café
cold,холодный, ցուրտ,froid
collar,воротник, օձիք,collier
collection,коллекция, հավաքածու,le recueil
college,колледж, քոլեջ,collège
combination,комбинация, համադրություն,combinaison
combine,комбинировать, միավորել,combiner
comfort,комфорт, հարմարավետություն,confort
comfortable,комфортный, հարմարավետ,confortable
command,командование, հրաման,commande
comment,комментарий, մեկնաբանել,commentaire
commercial,коммерческий, կոմերցիոն,commercial
commission,комиссия, հանձնաժողով,commission
committee,комитет, հանձնաժողով,Comité
common,общий, ընդհանուր,commun
communication,коммуникация, հաղորդակցություն,la communication
community,сообщество, համայնք,communauté
company,Компания, ընկերությունը,compagnie
comparison,сравнение, համեմատություն,Comparaison
competition,конкуренция, մրցակցություն,concours
complaint,жалоба, բողոք,plainte
complex,сложный, համալիր,complexe
computer,компьютерный, համակարգիչ,ordinateur
concentrate,концентрироваться, կենտրոնանալ,concentrer
concept,концепция, հայեցակարգ,concept
concern,беспокойство, մտահոգություն,préoccupation
concert,концерт, համերգ,concert
conclusion,заключение, եզրակացություն,conclusion
condition,условие, վիճակ,état
conference,конференция, համաժողով,conférence
confidence,уверенность, վստահություն,confiance
conflict,конфликт, կոնֆլիկտ,conflit
confusion,спутанность сознания, շփոթություն,confusion
connection,связь, կապ,lien
consequence,последствие, հետևանք,conséquence
consideration,рассмотрение, նկատառում,considération
consist,состоять, բաղկացած է,consister
constant,постоянный, մշտական,constante
construction,строительство, շինարարություն,construction
contact,контакт, Կապ,Contactez
contest,конкурс, մրցույթ,concours
context,контекст, համատեքստ,contexte
contract,договор, պայմանագիր,Contrat
contribution,вклад, ներդրում,contribution
control,контроль, վերահսկողություն,contrôle
conversation,беседа, զրույց,conversation
convert,конвертировать, փոխակերպել,convertir
cook,готовить, եփել,cuisinier
cookie,печенье, թխվածքաբլիթ,biscuit
copy,копия, պատճենել,copie
corner,угол, անկյուն,coin
cost,Стоимость, արժեքը,Coût
count,считать, հաշվել,compter
counter,прилавок, հաշվիչ,contrer
country,страна,երկիր,de campagne
county,округ, կոմսություն,comté
couple,пара, զույգ,coupler
courage,храбрость, քաջություն,courage
course,курс, դասընթաց,cours
court,корт, դատարան,rechercher
cousin,двоюродная сестра, զարմիկ,cousine
cover,крышка, ծածկոց,couverture
cow,корова, կով,vache
crack,трескаться, ճաք,fissure
craft,ремесло, արհեստ,artisanat
crash,крушение, վթար,crash
crazy,сумасшедший, խենթ,fou
cream,кремовый цвет, կրեմ,crème
creative,творческий, ստեղծագործական,Créatif
credit,кредит, վարկ,le crédit
crew,экипаж, անձնակազմ,équipe
criticism,критика, քննադատություն,critique
cross,Пересекать, Խաչ,traverser
cry,крик, լաց,cri
culture,культура, մշակույթը,Culture
cup,кружка, բաժակ,Coupe
currency,валюта, արժույթ,devise
current,Текущий, ընթացիկ,actuel
curve,изгиб, կոր,courbe
customer,покупатель, հաճախորդ,client
cut,резать, կտրել,couper
cycle,цикл, ցիկլը,cycle
dad,папа, հայրիկ,père
damage,наносить ущерб, վնաս,endommager
dance,танец, պարել,Danse
dare,осмеливаться, համարձակվել,oser
dark,темнота, մութ,foncé
data,данные, տվյալները,Les données
database,база данных, տվյալների բազա,base de données
