English,Russian,Armenian,French
Attention,Внимание,Ուշադրություն,Attention
Aorta,Аорта,Աորտա,Aorte
Arrow,Стрелка,Սլաք,Flèche
Atomisation,Распыление,Ատոմիզացում,Atomisation
Acculturation,Аккультурация,Կուլտուրացիա,Acculturation
Antiredeposition,Антипереотложение,Հակատեղադրում,Anti-redéposition
Art,Искусство,Արվեստ,Art
Anemia,анемия,Անեմիա,Anémie
Association,Ассоциация,Ասոցիացիա,Association
Arrest,Арест,Ձերբակալություն,Arrêter
Agglomeration,Агломерация,Ագլոմերացիա,Une agglomération
Apricot,Абрикос,Ծիրան,Abricot
Absence,Отсутствие,Բացակայություն,Absence
Aspect,Аспект,Ասպեկտ,Aspect
Abbreviation,Сокращенное название,Հապավում,Abréviation
Amp,Усилитель,ուժեղացուցիչ,Ampli
Agenda,Повестка дня,Օրակարգ,Ordre du jour
Aborigine,Абориген,Բաբորիգեն,Aborigène
Agreement,Соглашение,Համաձայնագիր,Une entente
Anorexia,Анорексия,Անորեքսիա,Anorexie
Armor,Броня,Զրահապատ,Armure
Adhesive,Клей,Սոսինձ,Adhésif
Apprentice,Ученик,Աշակերտուհի,Apprenti
Alibi,Алиби,Ալիբի,Alibi
Acceptability,Приемлемость,Ընդունելիություն,Acceptabilité
Adorer,Обожатель,Երկրպագող,Adorateur
Accord,Аккорд,Համաձայնություն,Accord
Authoritarianism,Авторитаризм,Ավտորիտարիզմ,Autoritarisme
Abbot,Аббат,Վանահայր,Abbé
Armload,Оружие,Armload,Charge de bras
Accommodation,Проживание,Տեղավորում,Hébergement
Acceptance,Принятие,Ընդունում,Acceptation
Asynchrony,Асинхронность,Ասինխրոնիա,Asynchronie
Artery,Артерия,Զարկերակ,Artère
Aristocracy,Аристократия,Արիստոկրատիա,Aristocratie
Armful,Охапка,Բազուկ,Brassée
Astronomy,астрономия,Աստղագիտություն,Astronomie
Atmosphere,Атмосфера,Մթնոլորտ,Atmosphère
Accumulation,Накопление,Կուտակում,Accumulation
Authorization,Авторизация,Թույլտվություն,Autorisation
Audio,Аудио,Աուդիո,l'audio
Aldermen,олдермены,Տարեցներ,Echevins
Army,Армия,Բանակ,Armée
Armpit,Подмышка,Թեւատակ,Aisselle
Agnomen,Агномен,Ագնոմեն,Agnomen
Apple,Яблоко,Apple,Pomme
Assessor,оценщик,Գնահատող,Assesseur
Abandon,Покидать,Հրաժարվել,Abandonner
Apron,Фартук,Գոգնոց,Tablier
Arnica,Арника,Արնիկա,Arnica
Affiliation,принадлежность,Պատկանելություն,Affiliation
Assignment,Назначение,Հանձնարարություն,Mission
Active,Активный,Ակտիվ,Actif
Ash,Пепел,Աշ,Cendre
Attachment,Вложение,Հավելված,Attachement
Anaesthesia,Анестезия,Անզգայացում,Anesthésie
Ancestry,Родословная,Ծագում,Ascendance
Amino,Амино,Ամինո,Amino
Accident,Несчастный случай,Վթար,Accident
Absolute,Абсолют,Բացարձակ,Absolu
Abduction,Похищение,Առեւանգում,Enlèvement
Apostle,апостол,Առաքյալ,Apôtre
Acquaintance,Знакомство,Ծանոթություն,Connaissance
